work_id,financial_year,work_name,work_description,sector_code,state_code,district_code,constituency_code,mp_id,implementing_agency_id,recommendation_date,sanction_date,expected_completion_date,actual_completion_date,recommended_cost,sanctioned_cost,cumulative_fund_released,cumulative_expenditure,physical_progress_percent,work_status,contractor_name,contractor_id,location_geotag_verified,has_photo_evidence,source_report,source_url,source_file,data_version,last_updated
MPL-2026-01011,2024-25,Installation of Deep Borewell with Solar Submersible Pump - Unit 11,Synthetic demo project unit 11 in BR-PAT,SEC-COMM,IN-BR,BR-PAT,PC-BR-31,MP-BR-PAT-01,AG-BR-PAT-01,2024-04-25,2024-05-22,2024-12-04,,53.8,49.84,19.94,0.0,0.0,Sanctioned,Demo Infrastructure Partner 6,VEN-DEMO-006,True,True,DEMO DATA - NOT OFFICIAL MPLADS DATA,https://mplads.gov.in,synthetic_generator_sih2026.py,v1.0-2026,2026-08-30T16:19:45.388073
MPL-2026-01012,2024-25,Development of Smart Classrooms and Science Lab - Unit 12,Synthetic demo project unit 12 in MH-PUN,SEC-EDU,IN-MH,MH-PUN,PC-MH-34,MP-MH-PUN-01,AG-MH-PUN-01,2024-05-20,2024-06-24,2024-12-04,,15.4,14.46,12.3,9.42,82.5,Ongoing,Demo Infrastructure Partner 1,VEN-DEMO-001,True,True,DEMO DATA - NOT OFFICIAL MPLADS DATA,https://mplads.gov.in,synthetic_generator_sih2026.py,v1.0-2026,2026-08-30T16:19:45.388080
MPL-2026-01013,2024-25,Development of Smart Classrooms and Science Lab - Unit 13,Synthetic demo project unit 13 in BR-PAT,SEC-EDU,IN-BR,BR-PAT,PC-BR-31,MP-BR-PAT-01,AG-BR-PAT-01,2024-05-24,2024-06-28,2024-12-29,,35.15,34.36,32.84,30.18,31.2,Delayed,Demo Infrastructure Partner 2,VEN-DEMO-002,True,True,DEMO DATA - NOT OFFICIAL MPLADS DATA,https://mplads.gov.in,synthetic_generator_sih2026.py,v1.0-2026,2026-08-30T16:19:45.388088
MPL-2026-01014,2024-25,Underground Drainage and Solid Waste Management Facility - Unit 14,Synthetic demo project unit 14 in MH-PUN,SEC-IRRI,IN-MH,MH-PUN,PC-MH-34,MP-MH-PUN-01,AG-MH-PUN-01,2024-04-02,2024-04-20,2024-12-14,,28.14,24.52,20.8,19.21,22.2,Delayed,Demo Infrastructure Partner 3,VEN-DEMO-003,True,True,DEMO DATA - NOT OFFICIAL MPLADS DATA,https://mplads.gov.in,synthetic_generator_sih2026.py,v1.0-2026,2026-08-30T16:19:45.388095
MPL-2026-01015,2024-25,Underground Drainage and Solid Waste Management Facility - Unit 15,Synthetic demo project unit 15 in MH-SOL,SEC-EDU,IN-MH,MH-SOL,PC-MH-42,MP-MH-SOL-01,AG-MH-SOL-01,2024-05-23,2024-06-09,2025-01-12,,31.9,31.31,17.72,14.74,82.1,Ongoing,Demo Infrastructure Partner 4,VEN-DEMO-004,True,True,DEMO DATA - NOT OFFICIAL MPLADS DATA,https://mplads.gov.in,synthetic_generator_sih2026.py,v1.0-2026,2026-08-30T16:19:45.388103
MPL-2026-01016,2024-25,Procurement of Diagnostic Equipment for Primary Health Center - Unit 16,Synthetic demo project unit 16 in TN-CHE,SEC-SAN,IN-TN,TN-CHE,PC-TN-04,MP-TN-CHE-01,AG-TN-CHE-01,2024-05-16,2024-06-09,2024-11-27,,54.67,49.81,27.32,20.66,58.5,Ongoing,Demo Infrastructure Partner 5,VEN-DEMO-005,True,True,DEMO DATA - NOT OFFICIAL MPLADS DATA,https://mplads.gov.in,synthetic_generator_sih2026.py,v1.0-2026,2026-08-30T16:19:45.388111
MPL-2026-01017,2024-25,Procurement of Diagnostic Equipment for Primary Health Center - Unit 17,Synthetic demo project unit 17 in RJ-SIK,SEC-DRINK,IN-RJ,RJ-SIK,PC-RJ-04,MP-RJ-SIK-01,AG-RJ-SIK-01,2024-05-08,2024-05-30,2024-09-27,2024-09-21,14.06,12.84,12.84,12.75,100.0,Completed,Demo Infrastructure Partner 6,VEN-DEMO-006,True,True,DEMO DATA - NOT OFFICIAL MPLADS DATA,https://mplads.gov.in,synthetic_generator_sih2026.py,v1.0-2026,2026-08-30T16:19:45.388119
MPL-2026-01018,2024-25,Development of Smart Classrooms and Science Lab - Unit 18,Synthetic demo project unit 18 in MH-SOL,SEC-SAN,IN-MH,MH-SOL,PC-MH-42,MP-MH-SOL-01,AG-MH-SOL-01,2024-05-13,2024-06-12,2024-11-06,,35.0,31.57,12.63,0.0,0.0,Sanctioned,Demo Infrastructure Partner 1,VEN-DEMO-001,True,True,DEMO DATA - NOT OFFICIAL MPLADS DATA,https://mplads.gov.in,synthetic_generator_sih2026.py,v1.0-2026,2026-08-30T16:19:45.388126
MPL-2026-01019,2024-25,Underground Drainage and Solid Waste Management Facility - Unit 19,Synthetic demo project unit 19 in WB-KOL,SEC-SAN,IN-WB,WB-KOL,PC-WB-24,MP-WB-KOL-01,AG-WB-KOL-01,2024-05-22,2024-06-19,2024-11-10,,15.13,13.77,11.64,8.31,52.6,Ongoing,Demo Infrastructure Partner 2,VEN-DEMO-002,True,True,DEMO DATA - NOT OFFICIAL MPLADS DATA,https://mplads.gov.in,synthetic_generator_sih2026.py,v1.0-2026,2026-08-30T16:19:45.388134
MPL-2026-01020,2024-25,Installation of 50 LED Solar Street Lighting Units - Unit 20,Synthetic demo project unit 20 in MH-SOL,SEC-DRINK,IN-MH,MH-SOL,PC-MH-42,MP-MH-SOL-01,AG-MH-SOL-01,2024-05-17,2024-06-11,2025-01-19,2024-12-31,46.13,44.47,44.47,42.56,100.0,Completed,Demo Infrastructure Partner 3,VEN-DEMO-003,True,True,DEMO DATA - NOT OFFICIAL MPLADS DATA,https://mplads.gov.in,synthetic_generator_sih2026.py,v1.0-2026,2026-08-30T16:19:45.388142
MPL-2026-01021,2024-25,Underground Drainage and Solid Waste Management Facility - Unit 21,Synthetic demo project unit 21 in BR-PAT,SEC-ROAD,IN-BR,BR-PAT,PC-BR-31,MP-BR-PAT-01,AG-BR-PAT-01,2024-04-16,2024-05-28,2025-01-21,,14.6,13.02,5.21,0.0,0.0,Sanctioned,Demo Infrastructure Partner 4,VEN-DEMO-004,True,True,DEMO DATA - NOT OFFICIAL MPLADS DATA,https://mplads.gov.in,synthetic_generator_sih2026.py,v1.0-2026,2026-08-30T16:19:45.388149
MPL-2026-01022,2024-25,Construction of Community Hall and Skill Center - Unit 22,Synthetic demo project unit 22 in MH-SOL,SEC-DRINK,IN-MH,MH-SOL,PC-MH-42,MP-MH-SOL-01,AG-MH-SOL-01,2024-04-06,2024-05-20,2024-12-22,,45.05,43.95,29.03,20.75,41.8,Ongoing,Demo Infrastructure Partner 5,VEN-DEMO-005,True,True,DEMO DATA - NOT OFFICIAL MPLADS DATA,https://mplads.gov.in,synthetic_generator_sih2026.py,v1.0-2026,2026-08-30T16:19:45.388156
MPL-2026-01023,2024-25,Installation of 50 LED Solar Street Lighting Units - Unit 23,Synthetic demo project unit 23 in TN-CHE,SEC-DRINK,IN-TN,TN-CHE,PC-TN-04,MP-TN-CHE-01,AG-TN-CHE-01,2024-04-17,2024-05-31,2025-01-06,,43.18,41.41,33.68,29.15,70.2,Ongoing,Demo Infrastructure Partner 6,VEN-DEMO-006,True,True,DEMO DATA - NOT OFFICIAL MPLADS DATA,https://mplads.gov.in,synthetic_generator_sih2026.py,v1.0-2026,2026-08-30T16:19:45.388163
MPL-2026-01024,2024-25,Procurement of Diagnostic Equipment for Primary Health Center - Unit 24,Synthetic demo project unit 24 in WB-KOL,SEC-HEALTH,IN-WB,WB-KOL,PC-WB-24,MP-WB-KOL-01,AG-WB-KOL-01,2024-04-19,2024-05-10,2024-09-14,,35.87,33.17,30.41,27.84,16.7,Delayed,Demo Infrastructure Partner 1,VEN-DEMO-001,True,True,DEMO DATA - NOT OFFICIAL MPLADS DATA,https://mplads.gov.in,synthetic_generator_sih2026.py,v1.0-2026,2026-08-30T16:19:45.388170
MPL-2026-01025,2024-25,Installation of Deep Borewell with Solar Submersible Pump - Unit 25,Synthetic demo project unit 25 in BR-PAT,SEC-DRINK,IN-BR,BR-PAT,PC-BR-31,MP-BR-PAT-01,AG-BR-PAT-01,2024-05-25,2024-06-14,2024-10-20,2024-10-12,37.22,33.8,33.8,33.7,100.0,Completed,Demo Infrastructure Partner 2,VEN-DEMO-002,True,True,DEMO DATA - NOT OFFICIAL MPLADS DATA,https://mplads.gov.in,synthetic_generator_sih2026.py,v1.0-2026,2026-08-30T16:19:45.388178
MPL-2026-01026,2024-25,Installation of Deep Borewell with Solar Submersible Pump - Unit 26,Synthetic demo project unit 26 in BR-BEG,SEC-DRINK,IN-BR,BR-BEG,PC-BR-24,MP-BR-BEG-01,AG-BR-BEG-01,2024-04-27,2024-06-02,2024-12-13,2024-11-17,34.16,32.61,32.61,32.15,100.0,Completed,Demo Infrastructure Partner 3,VEN-DEMO-003,True,True,DEMO DATA - NOT OFFICIAL MPLADS DATA,https://mplads.gov.in,synthetic_generator_sih2026.py,v1.0-2026,2026-08-30T16:19:45.388187
MPL-2026-01027,2024-25,Installation of 50 LED Solar Street Lighting Units - Unit 27,Synthetic demo project unit 27 in BR-BEG,SEC-ROAD,IN-BR,BR-BEG,PC-BR-24,MP-BR-BEG-01,AG-BR-BEG-01,2024-04-09,2024-05-15,2024-12-03,,23.04,22.0,19.62,19.22,17.2,Delayed,Demo Infrastructure Partner 4,VEN-DEMO-004,True,True,DEMO DATA - NOT OFFICIAL MPLADS DATA,https://mplads.gov.in,synthetic_generator_sih2026.py,v1.0-2026,2026-08-30T16:19:45.388195
MPL-2026-01028,2024-25,Procurement of Diagnostic Equipment for Primary Health Center - Unit 28,Synthetic demo project unit 28 in MH-SOL,SEC-EDU,IN-MH,MH-SOL,PC-MH-42,MP-MH-SOL-01,AG-MH-SOL-01,2024-05-03,2024-05-26,2024-10-09,,53.58,47.33,18.93,0.0,0.0,Sanctioned,Demo Infrastructure Partner 5,VEN-DEMO-005,True,True,DEMO DATA - NOT OFFICIAL MPLADS DATA,https://mplads.gov.in,synthetic_generator_sih2026.py,v1.0-2026,2026-08-30T16:19:45.388203
MPL-2026-01029,2024-25,PCC Road and Concrete Paver Block Pathway - Unit 29,Synthetic demo project unit 29 in RJ-SIK,SEC-ROAD,IN-RJ,RJ-SIK,PC-RJ-04,MP-RJ-SIK-01,AG-RJ-SIK-01,2024-04-29,2024-06-09,2024-12-15,,41.64,38.14,15.26,0.0,0.0,Sanctioned,Demo Infrastructure Partner 6,VEN-DEMO-006,True,True,DEMO DATA - NOT OFFICIAL MPLADS DATA,https://mplads.gov.in,synthetic_generator_sih2026.py,v1.0-2026,2026-08-30T16:19:45.388209
MPL-2026-01030,2024-25,Installation of Deep Borewell with Solar Submersible Pump - Unit 30,Synthetic demo project unit 30 in MH-PUN,SEC-ROAD,IN-MH,MH-PUN,PC-MH-34,MP-MH-PUN-01,AG-MH-PUN-01,2024-05-31,2024-07-13,2024-11-27,,23.33,20.58,17.62,15.46,19.7,Delayed,Demo Infrastructure Partner 1,VEN-DEMO-001,True,True,DEMO DATA - NOT OFFICIAL MPLADS DATA,https://mplads.gov.in,synthetic_generator_sih2026.py,v1.0-2026,2026-08-30T16:19:45.388217
MPL-2026-01031,2024-25,Development of Smart Classrooms and Science Lab - Unit 31,Synthetic demo project unit 31 in RJ-SIK,SEC-SAN,IN-RJ,RJ-SIK,PC-RJ-04,MP-RJ-SIK-01,AG-RJ-SIK-01,2024-05-03,2024-06-02,2024-11-01,2024-10-14,52.07,46.21,46.21,45.82,100.0,Completed,Demo Infrastructure Partner 2,VEN-DEMO-002,True,True,DEMO DATA - NOT OFFICIAL MPLADS DATA,https://mplads.gov.in,synthetic_generator_sih2026.py,v1.0-2026,2026-08-30T16:19:45.388225
MPL-2026-01032,2024-25,Renovation of Village Irrigation Pond and Check Dam - Unit 32,Synthetic demo project unit 32 in MH-PUN,SEC-DRINK,IN-MH,MH-PUN,PC-MH-34,MP-MH-PUN-01,AG-MH-PUN-01,2024-05-20,2024-06-08,2024-12-26,,50.38,49.19,35.63,25.94,68.8,Ongoing,Demo Infrastructure Partner 3,VEN-DEMO-003,True,True,DEMO DATA - NOT OFFICIAL MPLADS DATA,https://mplads.gov.in,synthetic_generator_sih2026.py,v1.0-2026,2026-08-30T16:19:45.388232
MPL-2026-01033,2024-25,Renovation of Village Irrigation Pond and Check Dam - Unit 33,Synthetic demo project unit 33 in BR-PAT,SEC-DRINK,IN-BR,BR-PAT,PC-BR-31,MP-BR-PAT-01,AG-BR-PAT-01,2024-05-08,2024-06-09,2024-10-25,,27.36,27.19,24.17,17.16,81.3,Ongoing,Demo Infrastructure Partner 4,VEN-DEMO-004,True,True,DEMO DATA - NOT OFFICIAL MPLADS DATA,https://mplads.gov.in,synthetic_generator_sih2026.py,v1.0-2026,2026-08-30T16:19:45.388239
MPL-2026-01034,2024-25,Procurement of Diagnostic Equipment for Primary Health Center - Unit 34,Synthetic demo project unit 34 in RJ-SIK,SEC-SAN,IN-RJ,RJ-SIK,PC-RJ-04,MP-RJ-SIK-01,AG-RJ-SIK-01,2024-05-13,2024-05-31,2024-11-12,,46.66,41.2,23.15,21.59,64.1,Ongoing,Demo Infrastructure Partner 5,VEN-DEMO-005,True,True,DEMO DATA - NOT OFFICIAL MPLADS DATA,https://mplads.gov.in,synthetic_generator_sih2026.py,v1.0-2026,2026-08-30T16:19:45.388247
MPL-2026-01035,2024-25,Installation of 50 LED Solar Street Lighting Units - Unit 35,Synthetic demo project unit 35 in BR-PAT,SEC-HEALTH,IN-BR,BR-PAT,PC-BR-31,MP-BR-PAT-01,AG-BR-PAT-01,2024-04-02,2024-04-22,2024-11-22,,52.49,46.98,37.3,28.42,66.8,Ongoing,Demo Infrastructure Partner 6,VEN-DEMO-006,True,True,DEMO DATA - NOT OFFICIAL MPLADS DATA,https://mplads.gov.in,synthetic_generator_sih2026.py,v1.0-2026,2026-08-30T16:19:45.388256
MPL-2026-01036,2024-25,Installation of 50 LED Solar Street Lighting Units - Unit 36,Synthetic demo project unit 36 in BR-PAT,SEC-EDU,IN-BR,BR-PAT,PC-BR-31,MP-BR-PAT-01,AG-BR-PAT-01,2024-05-26,2024-06-11,2025-01-26,,29.69,28.83,11.53,0.0,0.0,Sanctioned,Demo Infrastructure Partner 1,VEN-DEMO-001,True,True,DEMO DATA - NOT OFFICIAL MPLADS DATA,https://mplads.gov.in,synthetic_generator_sih2026.py,v1.0-2026,2026-08-30T16:19:45.388262
MPL-2026-01037,2024-25,Procurement of Diagnostic Equipment for Primary Health Center - Unit 37,Synthetic demo project unit 37 in RJ-SIK,SEC-ROAD,IN-RJ,RJ-SIK,PC-RJ-04,MP-RJ-SIK-01,AG-RJ-SIK-01,2024-04-15,2024-04-30,2024-11-20,,18.6,17.73,7.09,0.0,0.0,Sanctioned,Demo Infrastructure Partner 2,VEN-DEMO-002,True,True,DEMO DATA - NOT OFFICIAL MPLADS DATA,https://mplads.gov.in,synthetic_generator_sih2026.py,v1.0-2026,2026-08-30T16:19:45.388269
MPL-2026-01038,2024-25,Installation of 50 LED Solar Street Lighting Units - Unit 38,Synthetic demo project unit 38 in UP-VAR,SEC-IRRI,IN-UP,UP-VAR,PC-UP-77,MP-UP-VAR-01,AG-UP-VAR-01,2024-05-14,2024-06-24,2024-12-29,,23.35,23.25,9.3,0.0,0.0,Sanctioned,Demo Infrastructure Partner 3,VEN-DEMO-003,True,True,DEMO DATA - NOT OFFICIAL MPLADS DATA,https://mplads.gov.in,synthetic_generator_sih2026.py,v1.0-2026,2026-08-30T16:19:45.388276
MPL-2026-01039,2024-25,Development of Smart Classrooms and Science Lab - Unit 39,Synthetic demo project unit 39 in UP-VAR,SEC-HEALTH,IN-UP,UP-VAR,PC-UP-77,MP-UP-VAR-01,AG-UP-VAR-01,2024-04-03,2024-04-21,2024-11-03,2024-10-10,30.37,27.38,27.38,27.36,100.0,Completed,Demo Infrastructure Partner 4,VEN-DEMO-004,True,True,DEMO DATA - NOT OFFICIAL MPLADS DATA,https://mplads.gov.in,synthetic_generator_sih2026.py,v1.0-2026,2026-08-30T16:19:45.388284
MPL-2026-01040,2024-25,Procurement of Diagnostic Equipment for Primary Health Center - Unit 40,Synthetic demo project unit 40 in MH-SOL,SEC-COMM,IN-MH,MH-SOL,PC-MH-42,MP-MH-SOL-01,AG-MH-SOL-01,2024-04-17,2024-05-03,2024-11-29,,29.58,27.44,27.11,25.64,35.6,Delayed,Demo Infrastructure Partner 5,VEN-DEMO-005,True,True,DEMO DATA - NOT OFFICIAL MPLADS DATA,https://mplads.gov.in,synthetic_generator_sih2026.py,v1.0-2026,2026-08-30T16:19:45.388291
